Churn,customer_SeniorCitizen,customer_tenure,account_Charges_Monthly,account_Charges_Total,check_total,diff_total,account_Charges_day,churn_bin,customer_gender_Male,customer_Partner_Yes,customer_Dependents_Yes,phone_PhoneService_Yes,phone_MultipleLines_No phone service,phone_MultipleLines_Yes,internet_InternetService_Fiber optic,internet_InternetService_No,internet_OnlineSecurity_No internet service,internet_OnlineSecurity_Yes,internet_OnlineBackup_No internet service,internet_OnlineBackup_Yes,internet_DeviceProtection_No internet service,internet_DeviceProtection_Yes,internet_TechSupport_No internet service,internet_TechSupport_Yes,internet_StreamingTV_No internet service,internet_StreamingTV_Yes,internet_StreamingMovies_No internet service,internet_StreamingMovies_Yes,account_Contract_One year,account_Contract_Two year,account_PaperlessBilling_Yes,account_PaymentMethod_Credit Card Automatic,account_PaymentMethod_Electronic Check,account_PaymentMethod_Mailed Check
No,0,9,65.6,593.3,590.4,2.8999999999999773,2.1866666666666665,0.0,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,True
No,0,9,59.9,542.4,539.1,3.2999999999999545,1.9966666666666664,0.0,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Yes,0,4,73.9,280.85,295.6,-14.75,2.4633333333333334,1.0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
Yes,1,13,98.0,1237.85,1274.0,-36.15000000000009,3.2666666666666666,1.0,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
Yes,1,3,83.9,267.4,251.7,15.69999999999996,2.796666666666667,1.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
No,0,9,69.4,571.45,624.6,-53.14999999999998,2.313333333333333,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False
No,1,71,109.7,7904.25,7788.7,115.55000000000018,3.6566666666666654,0.0,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
No,0,63,84.65,5377.8,5332.950000000001,44.849999999999454,2.8216666666666668,0.0,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False
No,1,7,48.2,340.35,337.40000000000003,2.9499999999999886,1.606666666666667,0.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
No,0,65,90.45,5957.9,5879.25,78.64999999999964,3.015,0.0,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True
No,0,54,45.2,2460.55,2440.8,19.75,1.5066666666666668,0.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
No,0,72,116.8,8456.75,8409.6,47.14999999999964,3.893333333333333,0.0,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
No,0,5,68.95,351.5,344.75,6.75,2.2983333333333333,0.0,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
No,0,72,101.3,7261.25,7293.599999999999,-32.349999999999454,3.3766666666666665,0.0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False
No,0,56,45.05,2560.1,2522.8,37.30000000000018,1.5016666666666665,0.0,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False
No,0,71,95.75,6849.4,6798.25,51.14999999999964,3.191666666666667,0.0,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False
No,0,34,61.25,1993.2,2082.5,-89.29999999999995,2.0416666666666665,0.0,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,True
No,1,1,72.1,72.1,72.1,0.0,2.4033333333333333,0.0,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
Yes,1,45,62.7,2791.5,2821.5,-30.0,2.0900000000000003,1.0,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False
Yes,1,1,25.1,25.1,25.1,0.0,0.8366666666666667,1.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
No,1,50,25.2,1306.3,1260.0,46.29999999999996,0.84,0.0,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
Yes,0,13,94.1,1215.6,1223.3,-7.700000000000045,3.1366666666666663,1.0,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
No,0,23,83.75,1849.95,1926.25,-76.29999999999995,2.7916666666666665,0.0,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
No,0,3,19.85,57.2,59.55,-2.3500000000000014,0.6616666666666667,0.0,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
Yes,0,4,20.35,76.35,81.4,-5.050000000000011,0.6783333333333333,1.0,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
Yes,0,1,30.5,30.5,30.5,0.0,1.0166666666666666,1.0,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
No,0,55,103.7,5656.75,5703.5,-46.75,3.4566666666666666,0.0,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,False,False
