Churn,customer_SeniorCitizen,customer_tenure,account_Charges_Monthly,account_Charges_Total,check_total,diff_total,account_Charges_day,churn_bin,customer_gender_Male,customer_Partner_Yes,customer_Dependents_Yes,phone_PhoneService_Yes,phone_MultipleLines_No phone service,phone_MultipleLines_Yes,internet_InternetService_Fiber optic,internet_InternetService_No,internet_OnlineSecurity_No internet service,internet_OnlineSecurity_Yes,internet_OnlineBackup_No internet service,internet_OnlineBackup_Yes,internet_DeviceProtection_No internet service,internet_DeviceProtection_Yes,internet_TechSupport_No internet service,internet_TechSupport_Yes,internet_StreamingTV_No internet service,internet_StreamingTV_Yes,internet_StreamingMovies_No internet service,internet_StreamingMovies_Yes,account_Contract_One year,account_Contract_Two year,account_PaperlessBilling_Yes,account_PaymentMethod_Credit Card Automatic,account_PaymentMethod_Electronic Check,account_PaymentMethod_Mailed Check
No,0,0.125,0.47114427860696506,0.06629356104315716,0.06905263157894737,0.5022846391614021,0.47114427860696506,0.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
No,0,0.125,0.4144278606965174,0.060420032310177715,0.06305263157894737,0.5028222013170263,0.41442786069651727,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Yes,0,0.05555555555555555,0.5537313432835821,0.03023886452804062,0.03457309941520468,0.47856470904448234,0.553731343283582,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Yes,1,0.18055555555555555,0.7935323383084577,0.14067043618739902,0.1490058479532164,0.44980513371858516,0.7935323383084576,1.0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
Yes,1,0.041666666666666664,0.6532338308457711,0.028686822063235633,0.02943859649122807,0.5194866281413778,0.6532338308457711,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
No,0,0.125,0.5089552238805971,0.06377221324717287,0.07305263157894737,0.426958742104555,0.5089552238805969,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
No,1,0.986111111111111,0.9099502487562189,0.9099296099699977,0.9109590643274854,0.65367558123908,0.9099502487562184,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
No,0,0.875,0.6606965174129353,0.6183937225940457,0.6237368421052633,0.5586614702324939,0.6606965174129352,0.0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
No,1,0.09722222222222221,0.2980099502487562,0.03710477729056082,0.03946198830409357,0.5023518344308551,0.2980099502487563,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,0,0.9027777777777777,0.718407960199005,0.6853334871913224,0.6876315789473685,0.6040854723827428,0.7184079601990049,0.0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
No,0,0.75,0.2681592039800995,0.28176205861989384,0.2854736842105263,0.5249294449670734,0.2681592039800995,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
No,0,1.0,0.980597014925373,0.9736845141933995,0.9835789473684211,0.5617524526273335,0.980597014925373,0.0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
No,0,0.06944444444444445,0.5044776119402985,0.03839141472420956,0.040321637426900585,0.5074586749092854,0.5044776119402984,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,0,1.0,0.8263681592039801,0.8357315947380568,0.8530526315789474,0.45491197419701634,0.8263681592039799,0.0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
No,0,0.7777777777777777,0.2666666666666666,0.29324948072928686,0.29506432748538014,0.5485149845450873,0.2666666666666666,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
No,0,0.986111111111111,0.7711442786069651,0.7882067851373182,0.7951169590643276,0.567128074183576,0.7711442786069651,0.0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
No,0,0.4722222222222222,0.4278606965174129,0.2278329102238634,0.24356725146198832,0.37837656229001393,0.4278606965174129,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1
No,1,0.013888888888888888,0.535820895522388,0.0061504731133164075,0.008432748538011696,0.4983873135331263,0.535820895522388,0.0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Yes,1,0.625,0.44228855721393034,0.319951534733441,0.33,0.45807015186130806,0.44228855721393034,1.0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
Yes,1,0.013888888888888888,0.0681592039800995,0.000726978998384491,0.0029356725146198834,0.4983873135331263,0.0681592039800995,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,1,0.6944444444444444,0.06915422885572137,0.14856912070159242,0.1473684210526316,0.5606101330466324,0.0691542288557214,0.0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
Yes,0,0.18055555555555555,0.7547263681592039,0.1381029309946919,0.14307602339181286,0.48803924203735954,0.7547263681592038,1.0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
