Churn,customer_SeniorCitizen,customer_tenure,account_Charges_Monthly,account_Charges_Total,check_total,diff_total,account_Charges_day,churn_bin,customer_gender_Male,customer_Partner_Yes,customer_Dependents_Yes,phone_PhoneService_Yes,phone_MultipleLines_No phone service,phone_MultipleLines_Yes,internet_InternetService_Fiber optic,internet_InternetService_No,internet_OnlineSecurity_No internet service,internet_OnlineSecurity_Yes,internet_OnlineBackup_No internet service,internet_OnlineBackup_Yes,internet_DeviceProtection_No internet service,internet_DeviceProtection_Yes,internet_TechSupport_No internet service,internet_TechSupport_Yes,internet_StreamingTV_No internet service,internet_StreamingTV_Yes,internet_StreamingMovies_No internet service,internet_StreamingMovies_Yes,account_Contract_One year,account_Contract_Two year,account_PaperlessBilling_Yes,account_PaymentMethod_Credit Card Automatic,account_PaymentMethod_Electronic Check,account_PaymentMethod_Mailed Check
No,0,-0.9516816739185228,0.0278619390838584,-0.7454901724531984,-0.7459174802559194,0.04087988394342403,0.027861939083858752,0.0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1
No,0,-0.9516816739185228,-0.1615829189350795,-0.7679614915221795,-0.768570800890117,0.04683244146627115,-0.16158291893507942,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Yes,0,-1.1552834925186746,0.30372024111143525,-0.8834305190760507,-0.8760967964929843,-0.2217767167522197,0.30372024111143536,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Yes,1,-0.7888002190384014,1.1047063951915064,-0.4609344021995274,-0.44404983921230495,-0.54023854422456,1.1047063951915066,1.0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
Yes,1,-1.1960038562387048,0.6360796411446599,-0.8893684216591116,-0.8954823866653288,0.2313617246745424,0.6360796411446601,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
No,0,-0.9516816739185228,0.15415851109648415,-0.75513650490226,-0.7308152664997878,-0.7932222389455752,0.1541585110964839,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0
No,1,1.5729808767233588,1.4935668932303794,2.4821461762180856,2.4327452472517606,1.7172688963153422,1.493566893230378,0.0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0
No,0,1.247217966963116,0.6610065961471517,1.3667696720564424,1.3483223983739725,0.6651543541520434,0.6610065961471518,0.0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0
No,1,-1.0331224013585834,-0.5504434169739522,-0.8571624741918782,-0.8576385352354899,0.04162395363378013,-0.5504434169739517,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,0,1.3286586944031769,0.8537750481664219,1.6228720726834758,1.589560391794286,1.1681454648326561,0.8537750481664221,0.0,0,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1
No,0,0.880734693482843,-0.6501512369839195,0.07886288317657004,0.07119176928636303,0.29163136959337355,-0.6501512369839192,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0
No,0,1.6137012404433893,1.7295420672539685,2.726063735856831,2.7069254964091343,0.6993815599084191,1.7295420672539685,0.0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0
No,0,-1.1145631287986442,0.13920233809498894,-0.852239975024508,-0.8543928840335143,0.09817325010083115,0.13920233809498914,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
No,0,1.6137012404433893,1.2143849972024705,2.198274699570641,2.214116415945889,-0.48368924775749966,1.2143849972024705,0.0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
No,0,0.9621754209229036,-0.6551366279844181,0.1228121918861393,0.10740175548527524,0.5527998309083084,-0.6551366279844179,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
